year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments
1991,77,110,23,1,Loblolly Pine,131,15.7,19.2,
1991,77,110,24,1,Loblolly Pine,131,14.0,17.7,
1991,77,110,25,1,Loblolly Pine,131,13.0,17.4,
1991,77,110,26,3,Loblolly Pine,131,22.9,18.3,
1991,77,110,27,2,Loblolly Pine,131,9.1,12.8,
1991,77,110,28,1,Loblolly Pine,131,21.6,20.4,
1991,77,110,29,2,Loblolly Pine,131,11.2,11.6,
1991,77,110,30,2,Loblolly Pine,131,11.2,13.4,
1991,77,110,31,2,Loblolly Pine,131,17.8,19.5,
1991,77,110,32,1,Loblolly Pine,131,21.6,19.2,
1991,77,110,33,1,Loblolly Pine,131,18.8,18.3,
1991,77,110,34,1,Loblolly Pine,131,10.7,11.6,
1991,77,110,35,3,Loblolly Pine,131,12.7,13.7,
1991,77,110,36,1,Loblolly Pine,131,16.5,16.5,
1991,77,110,37,1,Loblolly Pine,131,9.4,11.6,
1991,77,110,38,2,Loblolly Pine,131,7.6,9.1,
1991,77,110,39,1,Loblolly Pine,131,12.7,14.6,
1991,77,110,40,1,Loblolly Pine,131,12.7,14.0,
1991,77,110,41,1,Loblolly Pine,131,17.3,18.9,
1991,77,110,42,1,Loblolly Pine,131,20.3,20.7,
1991,77,110,43,1,Loblolly Pine,131,17.5,19.5,
1991,77,110,44,1,Loblolly Pine,131,16.5,18.6,
1991,77,110,45,1,Loblolly Pine,131,23.9,19.2,
1991,77,110,46,2,Loblolly Pine,131,9.9,14.0,
1991,77,134,1,1,Loblolly Pine,131,30.5,16.8,
1991,77,134,2,2,Loblolly Pine,131,35.6,10.7,
1991,77,134,3,2,Loblolly Pine,131,45.7,9.1,
1991,77,134,4,2,Loblolly Pine,131,40.6,13.7,
1991,77,134,5,1,Loblolly Pine,131,15.2,16.8,
1991,77,160,1,2,Loblolly Pine,131,10.7,10.1,
1991,77,160,2,1,Loblolly Pine,131,30.7,27.7,
1991,77,160,4,1,Loblolly Pine,131,19.3,17.4,
1991,77,160,5,3,Loblolly Pine,131,31.8,28.3,
1991,77,160,6,1,Loblolly Pine,131,29.7,27.4,
1991,77,160,7,3,Loblolly Pine,131,33.3,27.1,
1991,77,160,10,1,Loblolly Pine,131,44.2,29.9,
1991,77,160,11,1,Loblolly Pine,131,33.8,28.3,
1991,77,160,12,2,Loblolly Pine,131,9.7,9.8,
1991,77,160,13,2,Loblolly Pine,131,27.7,6.4,
1991,77,166,2,1,Loblolly Pine,131,15.2,13.7,
1991,77,166,4,1,Loblolly Pine,131,15.2,13.7,
1991,77,166,5,1,Loblolly Pine,131,20.3,18.3,
1991,77,166,6,2,Loblolly Pine,131,30.5,7.6,
1991,77,180,1,2,Loblolly Pine,131,16.3,11.3,
1991,77,180,2,1,Loblolly Pine,131,28.7,20.1,
1991,77,180,3,2,Loblolly Pine,131,29.0,11.9,
1991,77,180,4,1,Loblolly Pine,131,25.7,20.4,
1991,77,180,6,2,Loblolly Pine,131,15.0,16.5,
1991,77,180,7,2,Loblolly Pine,131,17.8,15.5,
1991,77,180,8,2,Loblolly Pine,131,15.7,14.0,
1991,77,180,9,2,Loblolly Pine,131,13.2,11.6,
1991,77,180,10,2,Loblolly Pine,131,50.0,14.0,
1991,77,180,11,2,Loblolly Pine,131,37.3,7.3,
1991,77,180,13,2,Loblolly Pine,131,12.7,13.1,
1991,77,180,14,2,Loblolly Pine,131,19.8,12.8,
1991,77,180,15,1,Loblolly Pine,131,19.1,14.3,
1991,77,180,16,3,Loblolly Pine,131,21.6,21.9,
1991,77,180,17,1,Loblolly Pine,131,25.4,22.6,
1991,77,180,19,3,Loblolly Pine,131,26.9,21.3,
1991,77,180,21,1,Loblolly Pine,131,18.5,18.6,
1991,77,180,22,2,Loblolly Pine,131,12.2,7.3,
1991,77,190,1,3,Loblolly Pine,131,14.7,29.3,
1991,77,190,2,2,Loblolly Pine,131,21.6,23.2,
1991,77,190,3,1,Loblolly Pine,131,30.5,25.3,
1991,77,190,4,1,Loblolly Pine,131,15.2,7.3,
1991,77,190,5,2,Loblolly Pine,131,39.1,11.9,
1991,77,190,7,1,Loblolly Pine,131,20.6,20.1,
1991,77,190,8,2,Loblolly Pine,131,19.8,19.5,
1991,77,190,9,2,Loblolly Pine,131,27.4,10.7,
1991,77,190,10,3,Loblolly Pine,131,38.1,29.9,
1991,77,190,11,2,Loblolly Pine,131,16.8,18.6,
1991,77,190,12,2,Loblolly Pine,131,18.8,19.5,
1991,77,190,13,1,Loblolly Pine,131,14.2,11.3,
1991,77,195,1,1,Loblolly Pine,131,61.0,30.5,
1991,77,195,3,1,Loblolly Pine,131,55.9,30.5,
1991,77,230,1,3,Loblolly Pine,131,13.7,6.7,
1991,77,230,2,1,Loblolly Pine,131,12.7,5.2,
1991,77,230,3,2,Loblolly Pine,131,14.7,8.8,
1991,77,230,4,2,Loblolly Pine,131,12.7,8.5,
1991,77,230,5,1,Loblolly Pine,131,11.2,6.4,
1991,77,230,6,1,Loblolly Pine,131,16.0,10.4,
1991,77,230,7,3,Loblolly Pine,131,9.9,7.3,
1991,77,230,8,1,Loblolly Pine,131,16.5,6.7,
1991,77,230,9,1,Loblolly Pine,131,18.0,5.8,
1991,77,230,10,1,Loblolly Pine,131,11.4,9.8,
1991,77,230,11,1,Loblolly Pine,131,11.7,7.0,
1991,77,230,12,1,Loblolly Pine,131,10.2,5.5,
1991,77,230,13,1,Loblolly Pine,131,13.5,7.9,
1991,77,230,14,1,Loblolly Pine,131,11.4,7.6,
1991,77,230,15,1,Loblolly Pine,131,16.8,7.3,
1991,77,230,16,1,Loblolly Pine,131,15.7,7.0,
1991,77,230,17,1,Loblolly Pine,131,13.2,6.7,
1991,77,230,18,1,Loblolly Pine,131,14.0,7.3,
2013,77,40,2501,1,Loblolly Pine,131,22.9,20.5,
2013,77,40,2502,1,Loblolly Pine,131,35.7,21.5,
2013,77,40,2507,1,Loblolly Pine,131,46.3,29.0,
2013,77,40,2508,1,Loblolly Pine,131,12.7,14.3,
2013,77,40,2509,1,Loblolly Pine,131,23.1,20.6,
2013,77,40,2510,1,Loblolly Pine,131,12.6,11.9,
2013,77,40,2511,1,Loblolly Pine,131,40.6,28.2,
2013,77,40,2512,1,Loblolly Pine,131,9.6,12.1,
2013,77,40,2513,1,Loblolly Pine,131,27.1,23.3,
2013,77,40,2517,1,Loblolly Pine,131,15.5,14.8,
2013,77,40,2518,1,Loblolly Pine,131,37.2,27.2,
2013,77,40,2520,1,Loblolly Pine,131,20.2,17.7,
2013,77,80,2470,1,Loblolly Pine,131,37.3,25.1,
2013,77,80,2471,1,Loblolly Pine,131,36.9,26.7,
2013,77,80,2472,1,Loblolly Pine,131,9.1,9.6,
2013,77,80,2473,1,Loblolly Pine,131,20.8,21.9,
2013,77,80,2474,1,Loblolly Pine,131,28.0,24.2,
2013,77,80,2475,1,Loblolly Pine,131,9.3,11.5,
2013,77,80,2476,1,Loblolly Pine,131,7.9,9.4,
2013,77,80,2477,1,Loblolly Pine,131,33.0,25.6,
2013,77,80,2478,1,Loblolly Pine,131,42.3,25.9,
2013,77,80,2479,1,Loblolly Pine,131,18.4,16.5,
2013,77,80,2480,1,Loblolly Pine,131,16.1,14.4,
2013,77,80,2481,1,Loblolly Pine,131,10.5,12.6,
2013,77,80,2482,1,Loblolly Pine,131,31.0,25.4,
2013,77,80,2483,1,Loblolly Pine,131,10.7,13.4,
2013,77,80,2484,1,Loblolly Pine,131,13.9,14.2,
2013,77,80,2485,1,Loblolly Pine,131,25.8,19.4,
2013,77,90,2961,1,Loblolly Pine,131,35.6,22.5,
2013,77,90,2962,1,Loblolly Pine,131,36.7,23.9,
2013,77,90,2963,1,Loblolly Pine,131,31.4,25.0,
2013,77,90,2964,1,Loblolly Pine,131,27.8,23.2,
2013,77,90,2965,1,Loblolly Pine,131,33.7,24.8,
2013,77,90,2966,1,Loblolly Pine,131,30.3,22.8,
2013,77,90,2967,1,Loblolly Pine,131,31.1,22.9,
2013,77,90,2968,1,Loblolly Pine,131,31.6,22.4,
2013,77,90,2969,1,Loblolly Pine,131,32.4,24.3,
2013,77,90,2970,1,Loblolly Pine,131,23.7,22.3,
2013,77,100,2747,1,Loblolly Pine,131,10.6,10.8,
2013,77,100,2748,1,Loblolly Pine,131,17.8,17.7,
2013,77,100,2749,1,Loblolly Pine,131,7.7,11.6,
2013,77,100,2750,1,Loblolly Pine,131,29.8,20.7,
2013,77,100,2751,2,Loblolly Pine,131,9.8,6.9,
2013,77,100,2752,1,Loblolly Pine,131,14.1,13.1,
2013,77,100,2755,1,Loblolly Pine,131,22.2,20.4,
2013,77,100,2756,1,Loblolly Pine,131,20.8,17.4,
2013,77,100,2757,1,Loblolly Pine,131,13.4,17.0,
2013,77,100,2758,1,Loblolly Pine,131,14.4,15.8,
2013,77,100,2759,1,Loblolly Pine,131,9.8,12.7,
2013,77,100,2760,1,Loblolly Pine,131,13.0,15.9,
2013,77,100,2761,1,Loblolly Pine,131,23.7,20.0,
2013,77,100,2762,1,Loblolly Pine,131,16.2,20.3,
2013,77,100,2763,1,Loblolly Pine,131,14.0,17.5,
2013,77,100,2764,1,Loblolly Pine,131,18.5,19.4,
2013,77,100,2765,1,Loblolly Pine,131,15.0,13.6,
2013,77,100,2767,1,Loblolly Pine,131,46.1,27.6,
2013,77,100,2768,1,Loblolly Pine,131,10.0,10.6,
2013,77,100,2769,1,Loblolly Pine,131,16.3,16.7,
2013,77,100,2770,1,Loblolly Pine,131,39.5,23.5,
2013,77,100,2771,1,Loblolly Pine,131,14.6,12.7,
2013,77,100,2772,1,Loblolly Pine,131,20.9,17.1,
2013,77,100,2773,1,Loblolly Pine,131,22.7,21.9,
2013,77,100,2774,1,Loblolly Pine,131,25.7,16.9,
2013,77,100,2775,1,Loblolly Pine,131,28.5,21.3,
