,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
471,2013,77,20,2493,1,Loblolly Pine,131,34.1,24.8,,,,,,,,77_20,913.2688384,545.2942232
473,2013,77,20,2495,1,Loblolly Pine,131,29.5,22.7,,,,,,,,77_20,683.4927517,373.2800206
474,2013,77,20,2496,1,Loblolly Pine,131,40.7,25.4,,,,,,,,77_20,1301.004204,859.8044652
476,2013,77,20,2498,1,Loblolly Pine,131,17.3,16.4,,,,,,,,77_20,235.0618163,90.44460678
478,2013,77,20,2701,1,Loblolly Pine,131,28.4,23,,,,,,,,77_20,633.4707427,337.7457353
479,2013,77,20,2702,1,Loblolly Pine,131,16.4,13.8,,,,,,,,77_20,211.24069,78.42539079
480,2013,77,20,2703,1,Loblolly Pine,131,40.6,26.2,,,,,,,,77_20,1294.618917,854.4396688
481,2013,77,30,2880,1,Loblolly Pine,131,56.8,37,,,,,,,,77_30,2533.882971,1950.842997
484,2013,77,30,2883,1,Loblolly Pine,131,23.8,17.6,,,,,,,,77_30,444.8809357,211.5888893
491,2013,77,30,2890,1,Loblolly Pine,131,18.7,16.8,,,,,,,,77_30,274.6458838,111.3190791
492,2013,77,30,2891,1,Loblolly Pine,131,22.5,19.8,,,,,,,,77_30,397.6078202,182.244497
493,2013,77,30,2892,1,Loblolly Pine,131,10.8,10.5,,,,,,,,77_30,91.60884178,25.81472625
494,2013,77,30,2893,1,Loblolly Pine,131,21,20.5,,,,,,,,77_30,346.3605901,151.6665922
495,2013,77,30,2894,1,Loblolly Pine,131,18,16.8,,,,,,,,77_30,254.4690049,100.5442504
496,2013,77,30,2895,1,Loblolly Pine,131,30.5,18.7,,,,,,,,77_30,730.6166415,407.4372157
497,2013,77,30,2896,1,Loblolly Pine,131,8.8,10,,,,,,,,77_30,60.82123377,15.07282449
498,2013,77,30,2897,1,Loblolly Pine,131,12.8,13.8,,,,,,,,77_30,128.6796351,40.51009758
520,2013,77,50,2852,1,Loblolly Pine,131,15,15.3,,,,,,,,77_50,176.7145868,61.80985807
521,2013,77,50,2853,1,Loblolly Pine,131,20.5,19.2,,,,,,,,77_50,330.0635782,142.2342916
522,2013,77,50,2854,1,Loblolly Pine,131,16.1,17.8,,,,,,,,77_50,203.5830579,74.65495675
523,2013,77,50,2855,1,Loblolly Pine,131,19.5,17.9,,,,,,,,77_50,298.6476516,124.4799899
524,2013,77,50,2856,1,Loblolly Pine,131,27.2,20.4,,,,,,,,77_50,581.0689772,301.3836987
526,2013,77,50,2858,1,Longleaf Pine,121,16,16.8,,,,,,,,77_50,201.0619298,73.42393431
527,2013,77,50,2859,1,Loblolly Pine,131,18.9,14.8,,,,,,,,77_50,280.5520779,114.5238191
528,2013,77,50,2860,1,Loblolly Pine,131,26.2,19.3,,,,,,,,77_50,539.1287153,272.9675995
529,2013,77,50,2861,1,Loblolly Pine,131,31.5,22.7,,,,,,,,77_50,779.3113276,443.3792884
530,2013,77,50,2862,1,Loblolly Pine,131,7.7,9.7,,,,,,,,77_50,46.56625711,10.66466832
531,2013,77,50,2863,1,Loblolly Pine,131,24.1,19.6,,,,,,,,77_50,456.1671073,218.7445563
532,2013,77,50,2864,1,Loblolly Pine,131,13.5,12.6,,,,,,,,77_50,143.1388153,46.67690337
533,2013,77,50,2865,1,Loblolly Pine,131,12.7,10.8,,,,,,,,77_50,126.6768698,39.67391828
534,2013,77,50,2866,1,Loblolly Pine,131,8.5,10.9,,,,,,,,77_50,56.74501731,13.77117392
536,2013,77,50,2868,1,Loblolly Pine,131,34.2,19.8,,,,,,,,77_50,918.6331078,549.460342
537,2013,77,50,2869,1,Loblolly Pine,131,18.7,17.3,,,,,,,,77_50,274.6458838,111.3190791
538,2013,77,50,2870,1,Loblolly Pine,131,20.7,18.9,,,,,,,,77_50,336.535259,145.962305
539,2013,77,50,2871,1,Loblolly Pine,131,11.5,12.5,,,,,,,,77_50,103.8689071,30.48319084
542,2013,77,50,2874,1,Loblolly Pine,131,8.8,8.9,,,,,,,,77_50,60.82123377,15.07282449
543,2013,77,50,2875,1,Loblolly Pine,131,12.8,13.9,,,,,,,,77_50,128.6796351,40.51009758
545,2013,77,50,2877,1,Loblolly Pine,131,9.9,12,,,,,,,,77_50,76.97687399,20.52154586
546,2013,77,50,2878,1,Loblolly Pine,131,12.2,13.2,,,,,,,,77_50,116.8986626,35.65726578
548,2013,77,60,2942,1,Longleaf Pine,121,40.6,23.8,,,,,,,,77_60,1294.618917,854.4396688
549,2013,77,60,2943,1,Loblolly Pine,131,23.2,16.7,,,,,,,,77_60,422.7327075,197.7116116
550,2013,77,60,2944,1,Loblolly Pine,131,15.6,13.4,,,,,,,,77_60,191.134497,68.62744193
551,2013,77,60,2945,1,Longleaf Pine,121,42.4,22.1,,,,,,,,77_60,1411.957402,953.8080558
552,2013,77,60,2946,1,Loblolly Pine,131,15.6,13.8,,,,,,,,77_60,191.134497,68.62744193
553,2013,77,60,2947,1,Loblolly Pine,131,17.6,14.1,,,,,,,,77_60,243.2849351,94.69137489
554,2013,77,60,2948,1,Longleaf Pine,121,9,11,,,,,,,,77_60,63.61725124,15.98349157
555,2013,77,60,2949,1,Loblolly Pine,131,29.6,22.6,,,,,,,,77_60,688.1344548,376.6159465
556,2013,77,60,2950,1,Loblolly Pine,131,33.5,21.9,,,,,,,,77_60,881.4130889,520.6821782
557,2013,77,60,2951,1,Loblolly Pine,131,13.3,11.4,,,,,,,,77_60,138.9290811,44.85839989
558,2013,77,60,2952,1,Loblolly Pine,131,26.9,20.1,,,,,,,,77_60,568.321965,292.6802438
559,2013,77,60,2953,1,Loblolly Pine,131,10.5,13,,,,,,,,77_60,86.59014751,23.96355898
560,2013,77,60,2954,1,Loblolly Pine,131,15,16.1,,,,,,,,77_60,176.7145868,61.80985807
561,2013,77,60,2955,1,Longleaf Pine,121,22.1,18.8,,,,,,,,77_60,383.596317,173.7512825
562,2013,77,60,2956,1,Loblolly Pine,131,22.3,19.1,,,,,,,,77_60,390.5706527,177.9667337
563,2013,77,60,2957,1,Loblolly Pine,131,11.2,14.5,,,,,,,,77_60,98.52034562,28.42171838
564,2013,77,60,2958,1,Longleaf Pine,121,17.9,13.3,,,,,,,,77_60,251.6494255,99.06047782
565,2013,77,60,2959,1,Loblolly Pine,131,31.9,21.9,,,,,,,,77_60,799.2290251,458.2596972
567,2013,77,70,2455,1,Loblolly Pine,131,34.8,29,,,,,,,,77_70,951.1485918,574.8425169
568,2013,77,70,2456,1,Loblolly Pine,131,30.2,27.2,,,,,,,,77_70,716.3145409,397.0034678
569,2013,77,70,2457,1,Loblolly Pine,131,45.8,29.3,,,,,,,,77_70,1647.482603,1157.512398
570,2013,77,70,2458,1,Loblolly Pine,131,28.5,17.2,,,,,,,,77_70,637.9396582,340.8885736
572,2013,77,70,2460,1,Loblolly Pine,131,7.9,9.4,,,,,,,,77_70,49.01669938,11.39281941
574,2013,77,70,2462,1,Loblolly Pine,131,11.4,13.1,,,,,,,,77_70,102.0703453,29.78579448
575,2013,77,70,2463,1,Loblolly Pine,131,28.2,21,,,,,,,,77_70,624.5800355,331.5122978
576,2013,77,70,2464,1,Loblolly Pine,131,12.9,14.2,,,,,,,,77_70,130.6981084,41.35736112
577,2013,77,70,2465,1,Loblolly Pine,131,10.4,12.1,,,,,,,,77_70,84.94866535,23.36599603
579,2013,77,70,2467,1,Loblolly Pine,131,36,24.5,,,,,,,,77_70,1017.87602,627.5941161
580,2013,77,70,2468,1,Loblolly Pine,131,13.8,13.6,,,,,,,,77_70,149.5712262,49.4909015
581,2013,77,70,2469,1,Loblolly Pine,131,41.5,26,,,,,,,,77_70,1352.651987,903.3831592
654,2013,77,120,2803,1,Loblolly Pine,131,9.9,12.2,,,,,,,,77_120,76.97687399,20.52154586
655,2013,77,120,2804,1,Loblolly Pine,131,12.3,11.4,,,,,,,,77_120,118.8228881,36.43889054
