,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
5733,2018,80,280,28,1,Winged Elm,970,7.9,8.7,,,,,,,,80_280,49.01669938,18.25118794
5734,2018,80,280,29,1,Red Maple,316,16.1,20.9,,,,,,,,80_280,203.5830579,105.383463
5735,2018,80,280,30,1,Sweet Gum,611,48.1,27.4,broken top,,,,,,,80_280,1817.105045,1526.247369
5736,2018,80,280,31,1,Red Maple,316,22.2,23.1,,,,,,,,80_280,387.0756308,233.4617795
5737,2018,80,280,32,1,Red Maple,316,14.1,19.2,,,,,,,,80_280,156.1450089,75.87106426
5738,2018,80,280,33,1,Winged Elm,970,9.9,12.4,shot ht 2X,,,,,,,80_280,76.97687399,31.68990108
5739,2018,80,280,34,1,Red Maple,316,12.5,18.4,shot ht 2X,,,,,,,80_280,122.718463,56.31776819
5740,2018,80,280,35,1,Winged Elm,970,15.3,17.2,,,,,,,,80_280,183.8538561,92.88233441
5741,2018,80,280,36,1,Red Maple,316,13.9,19.4,,,,,,,,80_280,151.7467792,73.23439093
5742,2018,80,280,37,1,Red Maple,316,20.1,19.5,,,,,,,,80_280,317.308712,182.5889251
5743,2018,80,280,38,1,Winged Elm,970,11.2,14.9,dead at top,,,,,,,80_280,98.52034562,42.93999706
5744,2018,80,280,39,1,Red Maple,316,11.2,16.7,nearly dead,,,,,,,80_280,98.52034562,42.93999706
5745,2018,80,280,40,1,Red Maple,316,27.4,23.6,,,,,,,,80_280,589.6455252,392.2289543
5747,2018,80,280,42,1,Muscle Wood,200,10.4,9.7,height switched with 43,,,,,,,80_280,84.94866535,35.77267037
5748,2018,80,280,43,1,Muscle Wood,200,12,10.5,height switched with 42,,,,,,,80_280,113.0973355,50.91324308
5749,2018,80,280,44,1,Winged Elm,970,31.6,23,,,,,,,,80_280,784.26719,556.3039506
5750,2018,80,280,45,1,Am. Holly,200,14.3,7,,,,,,,,80_280,160.6060704,78.56386272
5751,2018,80,280,46,1,Red Maple,316,20.4,23.7,,,,,,,,80_280,326.8512997,189.4076167
5752,2018,80,280,47,2,Post Oak,835,8.3,7.5,,,,,,,,80_280,54.10607948,20.58234381
5753,2018,80,280,48,1,Muscle Wood,200,14.7,13,,,,,,,,80_280,169.7166891,84.11928689
5756,2018,80,280,51,1,Ash,540,9.9,13.7,,,,,,,,80_280,76.97687399,31.68990108
5759,2018,80,280,54,1,Ash,540,10.3,12.4,broken top,,,,,,,80_280,83.32289115,34.93203388
5760,2018,80,280,55,1,Red Maple,316,27.1,22.8,,,,,,,,80_280,576.8042652,381.7565161
5761,2018,80,280,56,1,Red Maple,316,9.9,16.4,,,,,,,,80_280,76.97687399,31.68990108
5762,2018,80,280,57,1,Sweet Gum,611,10,13.1,,,,,,,,80_280,78.53981634,32.48248647
5763,2018,80,280,156,1,Winged Elm,970,9.5,9.2,,,,,,,,80_280,70.88218425,28.63766857
5764,2018,80,290,356,1,blackgum,693,9.3,7.1,,,,,,,,80_290,67.92908715,27.18159516
5765,2018,80,290,359,1,Blackgum,693,8,10.7,,,,,,,,80_290,50.26548246,18.81786315
5766,2018,80,290,363,1,Blackgum,693,12.5,11,,,,,,,,80_290,122.718463,56.31776819
5771,2018,80,290,2044,2,Red Maple,316,10,10.8,,,,,,,,80_290,78.53981634,32.48248647
5775,2018,80,290,2048,1,Red Maple,316,18.7,17.9,,,,,,,,80_290,274.6458838,152.7019058
5776,2018,80,290,2049,1,Red Maple,316,22.7,22.1,,,,,,,,80_290,404.7078196,246.6700482
5777,2018,80,290,2050,1,Sweetgum,611,21.2,17.4,,,,,,,,80_290,352.9893506,208.3177188
5778,2018,80,290,2051,1,Blackgum,693,24.7,20.1,,,,,,,,80_290,479.1635655,303.8255713
5782,2018,80,290,2781,1,Sweetgum,611,9.1,12.5,,,,,,,,80_290,65.03882191,25.77158142
5786,2018,80,290,2785,1,Willow Oak,831,15.5,19.5,QA DBH= 15.2 HT=19.5,,,,,,,80_290,188.6919088,95.91939149
5787,2018,80,290,2786,1,Blackgum,693,11.2,11.9,measured height 2x,,,,,,,80_290,98.52034562,42.93999706
5788,2018,80,290,2787,1,Blackgum,693,11.7,12.2,QA DBH= 11.7 HT= 11.8,,,,,,,80_290,107.5131546,47.82709988
5789,2018,80,290,2788,1,Red Maple,316,15.3,16.2,,,,,,,,80_290,183.8538561,92.88233441
5792,2018,80,290,2791,1,Winged Elm,970,20.2,17.6,,,,,,,,80_290,320.4738666,184.8454079
5793,2018,80,290,2792,1,Blackgum,693,19.4,16.5,meas ht 2x,,,,,,,80_290,295.5924528,167.2500791
5794,2018,80,290,2793,2,Blackgum,693,12.8,5.6,,,,,,,,80_290,128.6796351,59.71928135
5796,2018,80,290,2795,1,Sweetgum,611,18.3,18,,,,,,,,80_290,263.0219909,144.7390827
5798,2018,80,290,2797,1,Elm,970,10.5,12.2,meas dbh 2x,,,,,,,80_290,86.59014751,36.62546147
5799,2018,80,290,2798,1,Blackgum,693,24.5,19.3,QA DBH= 24.5 HT= 19.1,,,,,,,80_290,471.4352476,297.795191
5800,2018,80,290,2799,1,Elm,970,7.8,9,at dbh,,,,,,,80_290,47.78362426,17.69514597
5804,2018,80,290,2903,1,Blackgum,693,13.3,15.3,,,,,,,,80_290,138.9290811,65.65742273
5806,2018,80,290,2905,1,Am. Holly,200,22.6,17.6,QA DBH= 22.9 HT=17.5,,,,,,,80_290,401.1499659,243.9941938
5812,2018,80,290,2911,1,Blackgum,693,8.2,7.2,,,,,,,,80_290,52.81017251,19.98337598
5814,2018,80,290,2913,1,Sweetgum,611,8.4,8.6,,,,,,,,80_290,55.41769441,21.19220532
5819,2018,80,300,751,1,Water oak,827,18.5,19.1,,,,,,,,80_300,268.8025214,148.6888509
5820,2018,80,300,752,1,Water oak,827,11.2,15.3,,,,,,,,80_300,98.52034562,42.93999706
5821,2018,80,300,753,1,Up Blackgum,693,34.5,9.7,broken top,,,,,,,80_300,934.820164,688.9748912
5822,2018,80,300,754,1,Beech,531,34,21.1,,,,,,,,80_300,907.9202769,664.95643
5823,2018,80,300,755,1,Post Oak,835,9.2,11.6,,,,,,,,80_300,66.47610055,26.47086095
5824,2018,80,300,756,1,Post Oak,835,11.4,14.7,,,,,,,,80_300,102.0703453,44.85668306
5825,2018,80,300,757,1,Am. Holly,200,9.3,12,,,,,,,,80_300,67.92908715,27.18159516
5826,2018,80,300,758,1,Am. Holly,200,12.8,12.8,,,,,,,,80_300,128.6796351,59.71928135
5827,2018,80,300,759,1,Am. Holly,200,8.9,11.8,,,,,,,,80_300,62.21138852,24.40714312
5828,2018,80,300,760,1,Am. Holly,200,10.4,14.5,,,,,,,,80_300,84.94866535,35.77267037
5829,2018,80,300,761,1,Am. Holly,200,8.5,9.1,,,,,,,,80_300,56.74501731,21.81302451
5830,2018,80,300,762,1,Beech,531,19,15.1,,,,,,,,80_300,283.528737,158.8407752
5831,2018,80,300,763,1,Red Maple,316,12.8,16.7,,,,,,,,80_300,128.6796351,59.71928135
5832,2018,80,300,764,1,Red Maple,316,7.6,12.5,,,,,,,,80_300,45.36459792,16.61469621
5834,2018,80,300,766,1,Blackgum,693,33.4,20.5,dbh measured 2x,,,,,,,80_300,876.1587752,636.7652352
5835,2018,80,300,767,1,Post Oak,835,16.7,14.4,,,,,,,,80_300,219.0396938,115.3838588
5836,2018,80,300,768,1,Cherry Bark oak,813,17,15.5,,,,,,,,80_300,226.9800692,120.5879163
5837,2018,80,300,769,1,Sweetgum,611,29.3,23,,,,,,,,80_300,674.2564693,462.3897543
5838,2018,80,300,770,1,Sweetgum,611,12.3,14.2,,,,,,,,80_300,118.8228881,54.1165095
5839,2018,80,300,771,1,Sweetgum,611,12.7,14.9,,,,,,,,80_300,126.6768698,58.57209402
5840,2018,80,300,772,1,water oak,827,15.2,14.2,height 2x,,,,,,,80_300,181.4583917,91.38567152
5841,2018,80,300,773,1,water oak,827,25.5,21.3,,,,,,,,80_300,510.7051557,328.655908
5842,2018,80,300,774,1,Beech,531,10.5,11.8,,,,,,,,80_300,86.59014751,36.62546147
5843,2018,80,300,775,2,Sweetgum,611,38.6,11.8,,,,,,,,80_300,1170.211848,904.0445878
5844,2018,80,300,776,1,Beech,531,12.1,12.6,,,,,,,,80_300,114.9901451,51.96791655
5845,2018,80,300,777,1,Red Maple,316,19,16.9,,,,,,,,80_300,283.528737,158.8407752
5846,2018,80,300,778,1,Red Maple,316,14.9,14.4,,,,,,,,80_300,174.3662463,86.98262885
5847,2018,80,300,779,1,water oak,827,9.4,12.9,,,,,,,,80_300,69.39778172,27.90384438
5848,2018,80,300,780,1,water oak,827,10.5,13.5,,,,,,,,80_300,86.59014751,36.62546147
5849,2018,80,300,781,1,water oak,827,11.7,17,,,,,,,,80_300,107.5131546,47.82709988
5850,2018,80,300,782,1,Post Oak,835,30.4,17.7,,,,,,,,80_300,725.8335667,506.0679079
5851,2018,80,300,783,1,water oak,827,9.1,13.7,,,,,,,,80_300,65.03882191,25.77158142
5852,2018,80,300,784,1,Blackgum,693,26.2,15.3,measured dbh x2,,,,,,,80_300,539.1287153,351.3196216
5853,2018,80,300,785,1,Post Oak,835,11,11.5,bark flaking off|shot height 2x,,,,,,,80_300,95.03317777,41.07368717
5854,2018,80,313,323,1,water oak,827,7.8,11.4,,,,,,,,80_313,47.78362426,17.69514597
5855,2018,80,313,327,1,water oak,827,7.8,11.2,,,,,,,,80_313,47.78362426,17.69514597
5856,2018,80,313,328,1,Sweetgum,611,10.7,12.7,,,,,,,,80_313,89.92023573,38.36773148
5860,2018,80,313,907,1,water oak,827,9.2,13.4,,,,,,,,80_313,66.47610055,26.47086095
5861,2018,80,313,908,1,water oak,827,8.5,12,,,,,,,,80_313,56.74501731,21.81302451
5862,2018,80,313,909,1,Sweetgum,611,8.5,13.7,,,,,,,,80_313,56.74501731,21.81302451
5863,2018,80,313,910,1,water oak,827,9.6,12.1,,,,,,,,80_313,72.38229474,29.38312731
5864,2018,80,313,911,1,water oak,827,13.1,16.3,,,,,,,,80_313,134.7821788,63.24153076
5865,2018,80,313,912,1,water oak,827,19.2,22,,,,,,,,80_313,289.529179,163.0132906
5866,2018,80,313,913,2,water oak,827,8.8,2.1,,,,,,,,80_313,60.82123377,23.74186174
5867,2018,80,313,914,1,water oak,827,13.1,17.8,,,,,,,,80_313,134.7821788,63.24153076
5868,2018,80,313,915,1,Sweetgum,611,8.8,10.8,,,,,,,,80_313,60.82123377,23.74186174
5869,2018,80,313,916,1,Up. Blackgum,693,16,16.2,,,,,,,,80_313,201.0619298,103.7691129
5870,2018,80,313,917,1,Sweetgum,611,9.3,8.2,broken top,,,,,,,80_313,67.92908715,27.18159516
5872,2018,80,313,919,1,Sweetgum,611,10.7,11.4,,,,,,,,80_313,89.92023573,38.36773148
5874,2018,80,313,921,1,Up. Blackgum,693,35.2,22.1,,,,,,,,80_313,973.1397404,723.4055051
5877,2018,80,313,924,1,Sweetgum,611,7.9,9.4,,,,,,,,80_313,49.01669938,18.25118794
5878,2018,80,313,925,1,Sweetgum,611,9.6,11.8,,,,,,,,80_313,72.38229474,29.38312731
5879,2018,80,313,926,1,Red Maple,316,8.4,14.2,,,,,,,,80_313,55.41769441,21.19220532
5880,2018,80,313,927,1,water oak,827,19.5,17.5,,,,,,,,80_313,298.6476516,169.3926617
5881,2018,80,313,928,1,water oak,827,9,15,,,,,,,,80_313,63.61725124,25.08369585
5882,2018,80,313,929,1,Up. Blackgum,693,8.3,9.5,,,,,,,,80_313,54.10607948,20.58234381
5884,2018,80,313,931,1,Up. Blackgum,693,15.3,15.9,,,,,,,,80_313,183.8538561,92.88233441
5886,2018,80,313,933,1,Sweetgum,611,9.7,12,,,,,,,,80_313,73.89811319,30.1402798
5887,2018,80,313,934,1,Sweetgum,611,11.3,13.7,,,,,,,,80_313,100.2874915,43.89201625
5888,2018,80,313,935,1,Up. Blackgum,693,21.2,16.6,,,,,,,,80_313,352.9893506,208.3177188
5890,2018,80,313,937,1,water oak,827,8.9,14.4,,,,,,,,80_313,62.21138852,24.40714312
5891,2018,80,313,938,1,water oak,827,10.3,12,,,,,,,,80_313,83.32289115,34.93203388
5892,2018,80,313,939,1,Up. Blackgum,693,19.3,12.9,,,,,,,,80_313,292.5529619,165.1236335
5893,2018,80,313,940,1,water oak,827,8.8,12,,,,,,,,80_313,60.82123377,23.74186174
5894,2018,80,313,941,1,water oak,827,8.3,8.5,,,,,,,,80_313,54.10607948,20.58234381
5895,2018,80,313,942,1,water oak,827,11.4,16.5,,,,,,,,80_313,102.0703453,44.85668306
5897,2018,80,313,944,1,Sweetgum,611,28.3,15.9,,,,,,,,80_313,629.0175351,424.6339956
5898,2018,80,313,945,1,Sweetgum,611,12.1,14.8,,,,,,,,80_313,114.9901451,51.96791655
5899,2018,80,313,946,1,Up. Blackgum,693,10.1,11.6,,,,,,,,80_313,80.11846665,33.28699884
5901,2018,80,313,948,1,water oak,827,10.9,13.1,,,,,,,,80_313,93.31315579,40.15928851
5902,2018,80,313,950,1,water oak,827,8.8,14.2,,,,,,,,80_313,60.82123377,23.74186174
5903,2018,80,313,951,1,water oak,827,9.4,14.5,,,,,,,,80_313,69.39778172,27.90384438
5904,2018,80,313,952,1,Up. Blackgum,693,8,7.4,,,,,,,,80_313,50.26548246,18.81786315
5905,2018,80,320,1,2,Sweetgum,611,7.2,4.1,dc3,,,,,,,80_320,40.71504079,14.57844789
5911,2018,80,320,7,1,Sweetgum,611,9.5,13.5,,,,,,,,80_320,70.88218425,28.63766857
5913,2018,80,320,9,1,Sweetgum,611,15.8,16.6,,,,,,,,80_320,196.0667975,100.5849433
5914,2018,80,320,10,1,Sweetgum,611,17.8,20.1,,,,,,,,80_320,248.8455541,135.1396357
5915,2018,80,320,11,1,Muscle Wood,200,9.1,11.9,,,,,,,,80_320,65.03882191,25.77158142
5916,2018,80,320,12,1,Sweetgum,611,14,14.9,,,,,,,,80_320,153.93804,74.54573486
5920,2018,80,320,16,1,Am. Holly,200,13.1,12.2,,,,,,,,80_320,134.7821788,63.24153076
5921,2018,80,320,17,1,Am. Holly,200,9.3,8.5,measured dbh below branch,,,,,,,80_320,67.92908715,27.18159516
5922,2018,80,320,724,1,Sweetgum,611,29,22.7,,,,,,,,80_320,660.5198554,450.8686321
5924,2018,80,320,726,1,Am. Holly,200,8.7,9.8,"in 2013, 1"" above dbh",,,,,,,80_320,59.44678699,23.08778979
5925,2018,80,320,727,1,Laurel Oak,820,36.3,18.4,some bark missing ,,,,,,,80_320,1034.911306,779.4119653
5926,2018,80,320,728,2,blackgum,693,11,6.7,dc2,,,,,,,80_320,95.03317777,41.07368717
5927,2018,80,320,729,1,Muscle Wood,200,9.4,10.6,,,,,,,,80_320,69.39778172,27.90384438
5929,2018,80,320,731,1,Sweetgum,611,14,15.2,,,,,,,,80_320,153.93804,74.54573486
5933,2018,80,320,735,1,blackgum,693,14,10.1,broken top|measured height x2,,,,,,,80_320,153.93804,74.54573486
5934,2018,80,320,736,1,Sweetgum,611,8.8,12.4,measured height 2x,,,,,,,80_320,60.82123377,23.74186174
5937,2018,80,320,739,1,Sweetgum,611,10.3,15.7,,,,,,,,80_320,83.32289115,34.93203388
5938,2018,80,320,740,1,Muscle Wood,200,11.9,11.8,measured height x2,,,,,,,80_320,111.2202339,49.87158348
5939,2018,80,320,741,1,Am. Holly,200,15.1,13.9,,,,,,,,80_320,179.0786352,89.90352849
5940,2018,80,320,742,1,blackgum,693,23.6,20.4,,,,,,,,80_320,437.4353611,271.528046
5941,2018,80,320,743,1,Sweetgum,611,20.9,21.7,,,,,,,,80_320,343.0697718,201.1018899
5942,2018,80,320,744,1,blackgum,611,18.1,14.5,,,,,,,,80_320,257.3042923,140.8523121
5943,2018,80,320,745,1,Am. Holly,200,8.7,8.9,measured ht 2x,,,,,,,80_320,59.44678699,23.08778979
5944,2018,80,320,746,1,Muscle Wood,200,12.5,11.6,measured dbh 2x,,,,,,,80_320,122.718463,56.31776819
5945,2018,80,320,747,1,Sweetgum,611,8.6,10.4,measured below knot,,,,,,,80_320,58.08804816,22.44486495
5946,2018,80,320,748,1,Sweetgum,611,13.5,12.3,measured dbh x2,,,,,,,80_320,143.1388153,68.12794408
5947,2018,80,320,749,1,Am. Holly,200,10.3,7.8,,,,,,,,80_320,83.32289115,34.93203388
5948,2018,80,320,750,1,Red Maple,316,8.4,11.7,measured ht x2,,,,,,,80_320,55.41769441,21.19220532
5949,2022,80,30,186,1,Up. Blackgum,693,8.3,12.2,,,,,,,,80_30,54.10607948,20.58234381
5950,2022,80,30,187,1,Water Oak,827,8.1,11.4,,,,,,,,80_30,51.5299735,19.39523739
5951,2022,80,30,188,1,ash,540,9.2,13.7,,,,,,,,80_30,66.47610055,26.47086095
5957,2022,80,30,206,1,Sweetgum,611,10.4,11.4,,,,,,,,80_30,84.94866535,35.77267037
5966,2022,80,30,215,1,Ash,540,11.7,14.8,meas dbh above knot,,,,,,,80_30,107.5131546,47.82709988
5967,2022,80,30,216,1,Sweetgum,611,7.7,10.2,,,,,,,,80_30,46.56625711,17.14967097
5968,2022,80,30,217,1,Sweetgum,611,13.7,16.1,,,,,,,,80_30,147.4113813,70.65347484
5976,2022,80,30,225,1,Water Oak,827,12.8,12.8,meas ht 2x; meas @ dbh,,,,,,,80_30,128.6796351,59.71928135
5979,2022,80,30,228,1,Sweetgum,611,8.5,10.6,,,,,,,,80_30,56.74501731,21.81302451
5982,2022,80,30,231,1,Sweetgum,611,7.6,2.7,"meas dbh 1"" below tag; meas ht @ tallest branch",,,,,,,80_30,45.36459792,16.61469621
5984,2022,80,30,233,1,Red Maple,316,13.3,14.4,crown intertwined with tree 234,,,,,,,80_30,138.9290811,65.65742273
5985,2022,80,30,234,1,Red Maple,316,13,13.8,crown intertwined with tree 233,,,,,,,80_30,132.7322896,62.0539509
5989,2022,80,30,238,1,Red Maple,316,11,16.2,,,,,,,,80_30,95.03317777,41.07368717
5996,2022,80,30,245,1,Sweetgum,611,10.8,11,,,,,,,,80_30,91.60884178,39.25732153
6011,2022,80,30,284,1,Sweetgum,611,9,13.3,,,,,,,,80_30,63.61725124,25.08369585
6012,2022,80,30,285,1,Sweetgum,611,9.7,10.3,,,,,,,,80_30,73.89811319,30.1402798
6013,2022,80,30,287,1,Sweetgum,611,8.7,11.4,,,,,,,,80_30,59.44678699,23.08778979
6015,2022,80,30,2697,1,Sweetgum,611,8,9.7,new tree,,,,,,,80_30,50.26548246,18.81786315
6016,2022,80,60,182,1,Water Oak,827,9.9,11,broken top; meas ht 2x,,,,,,,80_60,76.97687399,31.68990108
6017,2022,80,60,183,1,Water Oak,827,8.9,12.7,,,,,,,,80_60,62.21138852,24.40714312
6018,2022,80,60,184,1,Live Oak,838,8,10.1,meas ht 2x,,,,,,,80_60,50.26548246,18.81786315
6026,2022,80,60,318,2,Water Oak,827,8.2,7.4,DC=2; broken top,,,,,,,80_60,52.81017251,19.98337598
6028,2022,80,60,320,2,Water Oak,827,7.8,7.4,DC=2; broken top,,,,,,,80_60,47.78362426,17.69514597
6029,2022,80,60,321,1,Water Oak,827,12.3,14.9,meas ht 2x,,,,,,,80_60,118.8228881,54.1165095
6032,2022,80,60,324,1,Sweetgum,611,15.4,15.6,,,,,,,,80_60,186.2650284,94.39356015
6033,2022,80,60,325,1,Water Oak,827,18,19.4,meas dbh + ht 2x; dbh on swell,,,,,,,80_60,254.4690049,138.9324595
6036,2022,80,60,328,1,Water Oak,827,27.1,21.4,,,,,,,,80_60,576.8042652,381.7565161
6037,2022,80,60,329,2,Other HWD,300,16.1,5.5,broken top,,,,,,,80_60,203.5830579,105.383463
6038,2022,80,60,330,1,Water Oak,827,15.9,15.6,meas @ dbh; meas ht 2x,,,,,,,80_60,198.5565097,102.1696201
6039,2022,80,60,331,1,Sweetgum,611,10.7,13.5,meas ht 2x,,,,,,,80_60,89.92023573,38.36773148
6040,2022,80,60,332,1,Sweetgum,611,8.2,10.2,broken top,,,,,,,80_60,52.81017251,19.98337598
6043,2022,80,60,335,1,Willow Oak,831,12.6,13.1,meas ht 2x,,,,,,,80_60,124.6898124,57.4382728
6044,2022,80,60,336,2,Red Maple,316,12.6,11.3,dbh above fork; DC=2; broken top,,,,,,,80_60,124.6898124,57.4382728
6049,2022,80,60,341,1,Cherry Bark Oak,813,27,21.2,"In 2013, 1"" below dbh; broken top; meas ht 2x",,,,,,,80_60,572.5552611,378.3021214
6053,2022,80,60,345,1,Ash,540,17.7,16.3,meas ht 2x,,,,,,,80_60,246.0573906,133.2665901
6054,2022,80,60,346,1,Sweetgum,611,12.8,12.6,meas dbh 2x,,,,,,,80_60,128.6796351,59.71928135
6055,2022,80,60,347,1,Cherry Bark Oak,813,45.4,27.5,,,,,,,,80_60,1618.831278,1331.992341
6056,2022,80,60,348,1,Live Oak,838,10.8,9,meas dbh below swell,,,,,,,80_60,91.60884178,39.25732153
6057,2022,80,60,786,1,Sweetgum,611,28.3,22.8,meas ht 2x,,,,,,,80_60,629.0175351,424.6339956
6058,2022,80,60,787,1,Sweetgum,611,15.3,14.2,,,,,,,,80_60,183.8538561,92.88233441
6059,2022,80,60,788,1,Sweetgum,611,10.2,9.5,meas ht 2x,,,,,,,80_60,81.71282492,34.10349562
6061,2022,80,60,790,1,Sweetgum,611,11.2,11.4,meas dbh 2x,,,,,,,80_60,98.52034562,42.93999706
6063,2022,80,60,792,2,Sweetgum,611,20.1,10.8,meas dbh + ht 2x; DC=2,,,,,,,80_60,317.308712,182.5889251
6064,2022,80,60,793,1,Elm,970,11.5,8.6,meas dbh @ fork; 2018 dbh meas on knot,,,,,,,80_60,103.8689071,45.83405071
6065,2022,80,60,794,1,Elm,970,21.5,15.3,meas dbh @ fork,,,,,,,80_60,363.050301,215.6840183
6066,2022,80,60,795,1,Up. Blackgum,693,10.6,7.9,,,,,,,,80_60,88.24733764,37.49046326
6068,2022,80,60,797,1,Post Oak,835,19.6,14.2,meas dbh 2x,,,,,,,80_60,301.7185585,171.5514154
6071,2022,80,60,840,1,Up. Blackgum,693,41,25,meas ht 2x,,,,,,,80_60,1320.254313,1044.964515
6073,2022,80,60,842,1,Sweetgum,611,16.7,17.4,"meas dbh 6"" above",,,,,,,80_60,219.0396938,115.3838588
6075,2022,80,60,844,1,Live Oak,838,8.4,8.4,,,,,,,,80_60,55.41769441,21.19220532
6077,2022,80,60,846,1,Sweetgum,611,23,17.3,,,,,,,,80_60,415.4756284,254.8006596
6078,2022,80,60,2699,1,Am. Holly,200,8.7,8.6,new tree,,,,,,,80_60,59.44678699,23.08778979
6079,2022,80,100,201,2,Water Oak,827,9.3,4.9,broken top; DC=2,,,,,,,80_100,67.92908715,27.18159516
6086,2022,80,100,208,1,Water Oak,827,27.7,21.8,broken top,,,,,,,80_100,602.6281568,402.865678
6087,2022,80,100,209,1,S. Chestnut Oak,825,14.5,12.3,,,,,,,,80_100,165.1299639,81.31315025
6088,2022,80,100,210,1,Sweetgum,611,12.1,14.7,,,,,,,,80_100,114.9901451,51.96791655
6089,2022,80,100,211,1,Water Oak,827,10,12.1,"meas ht 2x; bromen top; meas dbh 2"" below trunk damage",,,,,,,80_100,78.53981634,32.48248647
6093,2022,80,100,215,1,Sweetgum,611,9.8,13,meas ht 2x,,,,,,,80_100,75.42963961,30.9091849
6106,2022,80,100,228,1,Willow Oak,831,9.6,12.6,meas ht 2x,,,,,,,80_100,72.38229474,29.38312731
6108,2022,80,100,230,2,Water Oak,827,19.9,5.6,DC=2; broken trunk,,,,,,,80_100,311.0255267,178.1250394
6111,2022,80,100,233,2,Water Oak,827,20,3,DC=2; broken trunk,,,,,,,80_100,314.1592654,180.3488132
6112,2022,80,100,234,1,Water Oak,827,20,15.4,meas dbh below broken fork; meas ht 3x,,,,,,,80_100,314.1592654,180.3488132
6114,2022,80,100,236,1,Post Oak,835,34.8,18.2,meas dbh at nail of tag + flagging,,,,,,,80_100,951.1485918,703.6158016
6115,2022,80,100,237,1,Post Oak,835,38.8,23.4,meas dbh at nail of tag + flagging,,,,,,,80_100,1182.369811,915.3640875
6117,2022,80,100,239,1,Sweetgum,611,16,17.9,,,,,,,,80_100,201.0619298,103.7691129
6119,2022,80,100,241,1,Water Oak,827,18.5,16,broken top; meas dbh as 1 tree,,,,,,,80_100,268.8025214,148.6888509
6120,2022,80,100,242,1,Up. Blackgum,693,8,8,,,,,,,,80_100,50.26548246,18.81786315
6131,2022,80,100,350,1,Willow Oak,831,8.5,13.2,meas ht 2x,,,,,,,80_100,56.74501731,21.81302451
6132,2022,80,100,1371,1,Water Oak,827,7.8,10.3,new tree,,,,,,,80_100,47.78362426,17.69514597
6136,2022,80,120,297,1,Sweetgum,611,15,17,meas ht 2x,,,,,,,80_120,176.7145868,88.43586208
6137,2022,80,120,299,1,Am. Holly,200,8.9,5.8,meas ht from ditch; beacon on opp. side of ditch @ same ht off ground as base; tallest pt. is on higher ground,,,,,,,80_120,62.21138852,24.40714312
6138,2022,80,120,1374,1,Am. Holly,200,8.6,7,new tree,,,,,,,80_120,58.08804816,22.44486495
6145,2022,80,120,2061,1,Sweetgum,611,12.8,15.5,meas dbh 2x,,,,,,,80_120,128.6796351,59.71928135
6146,2022,80,120,2062,1,Cherry Bark Oak,813,22.4,20.8,"4"" below dbh",,,,,,,80_120,394.0813825,238.6938422
6148,2022,80,120,2064,1,Red Maple,316,8.1,11.7,,,,,,,,80_120,51.5299735,19.39523739
6150,2022,80,120,2066,1,Up. Blackgum,693,9.2,8.7,meas dbh + ht 2x,,,,,,,80_120,66.47610055,26.47086095
6151,2022,80,120,2067,1,Up. Blackgum,693,12.8,13.7,meas dbh 2x,,,,,,,80_120,128.6796351,59.71928135
6152,2022,80,120,2068,1,Up. Blackgum,693,12.8,16.4,,,,,,,,80_120,128.6796351,59.71928135
6153,2022,80,120,2069,1,Red Maple,316,23.1,16,"3"" below dbh; meas dbh under branch fungus",,,,,,,80_120,419.096314,257.5453041
6154,2022,80,120,2070,1,Up. Blackgum,693,14.2,14.3,meas ht 2x,,,,,,,80_120,158.3676857,77.21042501
6155,2022,80,120,2071,1,Sweetgum,316,23.5,23.8,,,,,,,,80_120,433.7361357,268.6968064
6156,2022,80,120,2072,1,Red Maple,316,8.3,12.8,,,,,,,,80_120,54.10607948,20.58234381
6157,2022,80,120,2073,1,Willow Oak,831,29.8,17.9,broken top; meas ht 2x,,,,,,,80_120,697.464985,481.9634999
6159,2022,80,120,2075,1,Red Maple,316,9,10,,,,,,,,80_120,63.61725124,25.08369585
6160,2022,80,120,2076,1,Red Maple,316,8.8,15.2,,,,,,,,80_120,60.82123377,23.74186174
6161,2022,80,120,2077,1,Water Oak,827,8.3,12.7,meas ht 2x,,,,,,,80_120,54.10607948,20.58234381
6163,2022,80,120,2079,1,Cherry Bark Oak,813,20.8,19.6,meas ht 2x,,,,,,,80_120,339.7946614,198.729908
6164,2022,80,120,2080,1,Water Oak,827,10.9,14.4,meas dbh 2x,,,,,,,80_120,93.31315579,40.15928851
6165,2022,80,120,2081,1,S. Blackgum,694,12.4,14.3,meas dbh 2x,,,,,,,80_120,120.7628216,55.21053043
6167,2022,80,120,2083,1,Up. Blackgum,693,13.7,11.9,meas dbh 2x,,,,,,,80_120,147.4113813,70.65347484
6168,2022,80,120,2084,1,Cherry Bark Oak,813,13.5,14.7,,,,,,,,80_120,143.1388153,68.12794408
6169,2022,80,120,2085,1,Water Oak,827,16,17.3,meas ht 2x,,,,,,,80_120,201.0619298,103.7691129
6170,2022,80,120,2086,1,Water Oak,827,10.9,14.9,,,,,,,,80_120,93.31315579,40.15928851
